# item_name	category_id	subcategory_id	item_link	texture
Blacksmithing Station (Armor Master)	25	104	|H0:item:119807:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Enchanting Station	25	104	|H0:item:118330:124:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableenchanter001.dds
Clothing Station (Armor Master)	25	104	|H0:item:119733:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Armor Master)	25	104	|H0:item:119770:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Alchemy Station	25	104	|H0:item:118328:124:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablealchemy001.dds
Blacksmithing Station (Noble's Conquest)	25	104	|H0:item:119805:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Noble's Conquest)	25	104	|H0:item:119731:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Noble's Conquest)	25	104	|H0:item:119768:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Redistributor)	25	104	|H0:item:119806:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Redistributor)	25	104	|H0:item:119732:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Redistributor)	25	104	|H0:item:119769:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Orgnum's Scales)	25	104	|H0:item:119799:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Orgnum's Scales)	25	104	|H0:item:119725:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Orgnum's Scales)	25	104	|H0:item:119762:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Kagrenac's Hope)	25	104	|H0:item:119801:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Kagrenac's Hope)	25	104	|H0:item:119727:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Kagrenac's Hope)	25	104	|H0:item:119764:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Hunding's Rage)	25	104	|H0:item:119796:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Hunding's Rage)	25	104	|H0:item:119722:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Hunding's Rage)	25	104	|H0:item:119759:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Law of Julianos)	25	104	|H0:item:119808:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Law of Julianos)	25	104	|H0:item:119734:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Law of Julianos)	25	104	|H0:item:119771:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Magnus' Gift)	25	104	|H0:item:119788:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Magnus' Gift)	25	104	|H0:item:119714:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Magnus' Gift)	25	104	|H0:item:119751:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Night Mother's Gaze)	25	104	|H0:item:119789:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Night Mother's Gaze)	25	104	|H0:item:119715:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Night Mother's Gaze)	25	104	|H0:item:119752:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Morkuldin)	25	104	|H0:item:119811:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Morkuldin)	25	104	|H0:item:119737:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Morkuldin)	25	104	|H0:item:119774:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Eternal Hunt)	25	104	|H0:item:119814:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Eternal Hunt)	25	104	|H0:item:119740:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Eternal Hunt)	25	104	|H0:item:119777:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Twice-Born Star)	25	104	|H0:item:119804:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Twice-Born Star)	25	104	|H0:item:119730:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Twice-Born Star)	25	104	|H0:item:119767:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Clever Alchemist)	25	104	|H0:item:119813:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Clever Alchemist)	25	104	|H0:item:119739:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Clever Alchemist)	25	104	|H0:item:119776:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Pelinal's Aptitude)	25	104	|H0:item:119817:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Pelinal's Aptitude)	25	104	|H0:item:119743:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Pelinal's Aptitude)	25	104	|H0:item:119780:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Seducer)	25	104	|H0:item:119786:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Seducer)	25	104	|H0:item:119712:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Seducer)	25	104	|H0:item:119749:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Torug's Pact)	25	104	|H0:item:119793:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Torug's Pact)	25	104	|H0:item:119719:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Torug's Pact)	25	104	|H0:item:119756:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Kvatch Gladiator)	25	104	|H0:item:119815:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Kvatch Gladiator)	25	104	|H0:item:119741:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Kvatch Gladiator)	25	104	|H0:item:119778:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Varen's Legacy)	25	104	|H0:item:119816:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Varen's Legacy)	25	104	|H0:item:119742:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Varen's Legacy)	25	104	|H0:item:119779:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Tava's Favor)	25	104	|H0:item:119812:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Tava's Favor)	25	104	|H0:item:119738:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Tava's Favor)	25	104	|H0:item:119775:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Trial by Fire)	25	104	|H0:item:119809:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Trial by Fire)	25	104	|H0:item:119735:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Trial by Fire)	25	104	|H0:item:119772:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Daedric Trickery)	25	104	|H0:item:122608:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Daedric Trickery)	25	104	|H0:item:122602:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
Woodworking Station (Daedric Trickery)	25	104	|H0:item:122605:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletablewoodworking001.dds
Blacksmithing Station (Shacklebreaker)	25	104	|H0:item:122609:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portableblacksmith001.dds
Clothing Station (Shacklebreaker)	25	104	|H0:item:122603:124:1:0:0:0:0:0:0:0:0:0:0:0:1:0:0:1:0:0:0|h|h	/esoui/art/icons/housing_gen_crf_portabletableleatherworking001.dds
